Var_Name,Var_Text
FRNDSEX,R HAD SEX WITH FRIEND LAST YEAR
SUPHELP,SUPERVISOR HELPFUL TO R IN GETTING JOB DONE
SEX,SEX5SEX OF SEX PARTNERS LAST FIVE YEARS
WORDB,WORD B
WKAGEISM,R FEELS DISCRIMINATED BECAUSE OF AGE
CONFINAN,CONFID IN BANKS & FINANCIAL INSTITUTIONS
RANK,10RS SOCIAL RANK 10 YEARS AGO
RELSP1,1RELATIONSHIP OF PERSON 11 TO SPOUSE OF HOUSEHO
IMMRGHTS,LEGAL IMMIGRANTS SHOULD HAVE SAME RIGHT AS AMERICAN 
RELSP1,3RELATIONSHIP OF PERSON 13 TO SPOUSE OF HOUSEHO
WEIGHT,R WEIGHS HOW MUCH
EVCRACK,R EVER USE CRACK COCAINE
RELHHD1,RELATION OF 1ST PERSON TO HOUSEHOLD HEAD
ADVFRONT,SCI RSCH IS NECESSARY AND SHOULD BE SUPPORTED BY FEDERAL GOVT
MAR4,MARITAL STATUS OF 4TH PERSON
INCOME,16TOTAL FAMILY INCOME
POLEFF20,MOST PPL ARE BETTER INFORMED ABOUT POLITICS THAN R IS
FEPRESCH,PRESCHOOL KIDS SUFFER IF MOTHER WORKS
RACDIF1,DIFFERENCES DUE TO DISCRIMINATION
RELHHD1,1RELATION OF 11TH PERSON (VISITOR) TO HEAD
RES2010,WAS R LIVING IN USA DURING APRIL-JUNE 2010
SAMPLE,SAMPLING FRAME AND METHOD
SPKHOMO,ALLOW HOMOSEXUAL TO SPEAK
CONJUDGE,CONFID. IN UNITED STATES SUPREME COURT
OBEY,LAWSHOULD PEOPLE OBEY LAWS WITHOUT EXCEPTN?
SEX,RESPONDENTS SEX
CONEDUC,YEDUCATION -- VERSION Z
NATRACE,ZIMPROVING CONDITIONS OF BLACKS -- VER Z
NEWS,KILLI WOULD ACCEPT JOB THAT REQUIRES NEW SKILLS
RELATE1,1RELATION OF 11TH PERSON (VISITOR) TO HEAD
SOCFREND,SPEND EVENING WITH FRIENDS
TAX,POORTAXES ON LOW INCOME PEOPLE TOO HIGH
WORDC,WORD C
PRETEEN,HOUSEHOLD MEMBERS 6 THRU 12 YRS OLD
WHERE1,0WHERE IS 1OTH PERSON STAYING?
DISCPOL,HOW OFTEN R DISCUSS POLITICS  
GRADTOUNDER,RATIO OF GRADUATE STUDENTS TO UNDERGRADUATE STUDENTS IN COLLEGE RESPONDEN
COURTS,YCOURTS DEALING WITH CRIMINALS-VERSION Y
REALINC,FAMILY INCOME IN CONSTANT $
RACE,CEN2WHAT IS RS RACE 2ND MENTION
HELPHWRK,HELPED SOMEONE WITH HWORK DURING PAST 12 MONTHS
LEARNNEW,JOB REQUIRES R TO LEARN NEW THINGS
RELHHD8,RELATION OF 8TH PERSON TO HOUSEHOLD HEAD
GOODLIFE,STANDARD OF LIVING OF R WILL IMPROVE
MAIND10,MOTHERS INDUSTRY CODE (NAICS 2007)
SCIFROM,MAIN SOURCE OF INFORMATION ABOUT SCIENCE AND TECHNOLOGY
RELHHD7,RELATION OF 7TH PERSON TO HOUSEHOLD HEAD
SERVEPEO,HOW COMMITTED GOVT ADMNSTRATORS ARE TO SERVE PEOPLE  
RACE,THMNWHAT RACE/ETH IS OTHER REFERRING TO
NATFARE,YASSISTANCE TO THE POOR -- VERSION Y
NUMWOMEN,NUMBER OF FEMALE SEX PARTNERS SINCE 18
WWWMIN,OMINUTES PER WEEK USING OTHER COMPUTER WWW
AGE,WEDAGE WHEN FIRST MARRIED
RACE,THBLPOINTS ASSIGNED TO BLACK/AFRICAN AMERICAN
PHASE,SUBSAMPLING: TWO-PHASE DESIGN.
HSCHEM,R EVER TOOK A HIGH SCHOOL CHEMISTRY COURSE
CONINC,FAMILY INCOME IN CONSTANT DOLLARS
NATHEAL,IMPROVING & PROTECTING NATIONS HEALTH
EXTRAPAY,ELIGIBLE FOR PERFORMANCE BASED PAY
DIABETES,TOLD HAVE DIABETES
NATAIDY,ASSISTANCE TO OTHER COUNTRIES -- VER Y
JOBFIND,1HOW EASY FOR R TO FIND A SAME JOB
RELIG,5RELIGIOUS PREFERENCE OF PERSON #5
EVOLVED,1HUMANS DEVELOPED FROM EARLIER SPECIES: TRUE OR FALSE
FREETRDE,FREE TRADE LEADS TO BETTER PRODUCTS 
INTINTL,INTERESTED IN INTERNATIONAL ISSUES
RELIG,4RELIGIOUS PREFERENCE OF PERSON #4
RELIG16,RELIGION IN WHICH RAISED
PASEI10EDUC,PERCENTAGE OF SOME COLLEGE EDUC IN PAOCC10 BASED ON ACS 2010
ABNOMORE,MARRIED--WANTS NO MORE CHILDREN
MAJORCOL,THE FIELD OF DEGREE R EARNED
SEEKSCI,PROBABLE SOURCE OF INFORMATION ABOUT SCIENTIFIC ISSUES
NEWS,FROMMAIN SOURCE OF INFORMATION ABOUT EVENTS IN THE NEWS
SEXSEX,5SEX OF SEX PARTNERS LAST FIVE YEARS
WHYWKHME,USUAL REASON R WORK AT HOME
WKHAROTH,R THREATENED ON THE JOB LAST 12 MONTHS
GRPWORK,R BELONGS TO A TRADE UNION OR PROFESSIONAL ASSOCIATION
VOTEELEC,HOW IMPORTANT ALWAYS TO VOTE IN ELECTIONS  
PROUDSCI,HOW PROUD ITS SCIENTIFIC AND TECH ACHIEVEMENTS   
AWAY7,IS 7TH PERSON STAYING SOMEWHERE ELSE NOW?
RELIG,1RELIGIOUS PREFERENCE OF PERSON #1
VERSION,VERSION OF QUESTIONNAIRE
WKHARSEX,R SEXUALLY HARASSED ON THE JOB LAST 12 MONTHS
THNKSELF,TO THINK FOR ONES SELF
HYPERTEN,TOLD HAVE HYPERTENSION OR HIGH BLOOD PRESSURE
MAPRES10,MOTHER'S OCCUPATIONAL PRESTIGE SCORE (2010)
ATTRALLY,ATTENDED A POLITICAL MEETING OR RALLY  
CITIZEN,ARE YOU A CITIZEN OF AMERICA?                  
ACQNTSEX,R HAD SEX WITH ACQUAINTANCE LAST YEAR
ELECFAIR,HOW FAIR LAST NATL ELECTION: OPPRTUNITIES OF CANDIDATE
EMAILHR,EMAIL HOURS PER WEEK
OTH16,OTHER PROTESTANT DENOMINATIONS
PAIND10,FATHERS INDUSTRY CODE (NAICS 2007)
RELATE1,3RELATION OF 13TH PERSON (VISITOR) TO HEAD
RPLACE,R'S RELATIONSHIP TO HOUSEHOLD HEAD
NATCRIMY,LAW ENFORCEMENT -- VERSION Y
SPEDUC,"HIGHEST YEAR SCHOOL COMPLETED, SPOUSE"
SPKLANG,1WHAT LANGUAGE(S) DO YOU SPEAK WELL?             
VOEDNCOL,NON-COLLEGE POSTSECONDARY EDUCATION (VOEDNME2)
ODDS2,TEST OF KNOWLEDGE ABOUT PROBABLITY2
WHERE1,2WHERE IS 12TH PERSON (VISITOR) STAYING?
WORDF,WORD F
MAR12,MARITAL STATUS OF 12TH PERSON (VISITOR)
AWAY1,0IS 10TH PERSON STAYING SOMEWHERE ELSE NOW?
RELIG,RS RELIGIOUS PREFERENCE
MARTYPE,MARITAL TYPE
SPKATH,ALLOW ANTI-RELIGIONIST TO SPEAK
JOINDEM,TOOK PART IN A DEMONSTRATION  
LENTTO,LENT MONEY TO ANOTHER PERSON PAST 12 MONTHS
OLD7,AGE OF 7TH PERSON
SCINEWS1,NEWSPAPER PRINTED OR ONLINE
WRKTYPE,WORK ARRANGEMENT AT MAIN JOB
NATARMS,"MILITARY, ARMAMENTS, AND DEFENSE"
WRKSCHED,USUAL WORK SCHEDULE
OBEYLAWS,HOULD PEOPLE OBEY LAWS WITHOUT EXCEPTN?
GENDER1,4GENDER OF 14TH PERSON (VISITOR)
EDUC,30R USE EDUCATION SITE IN PAST 30 DAYS
BIGBANG,2UNIVERSE EXPANDING SINCE IT BEGAN: TRUE OR FALSE
RINCOME,RESPONDENTS INCOME
OLD1,0AGE OF 1OTH PERSON
TAX,SHARESHOULD RICH PAY BIGGER SHARE OF TAXES?
HOTCORE,SCI KNOWLEDGE: THE CENTER OF EARTH IS VERY HOT
NUMORG,NUMBER OF PEOPLE WORKING IN ORGANIZATION AT ALL LOCATIONS 
WORDJ,WORD J
DIVORCE,EVER BEEN DIVORCED OR SEPARATED
PHYEFFRT,RATE PHYSICAL EFFORT
PISTOL,PISTOL OR REVOLVER IN HOME
INTID,INTERVIEWER ID
RELSP4,RELATIONSHIP OF PERSON 4 TO SPOUSE OF HOUSEHOL
RACE,CEN1WHAT IS RS RACE 1ST MENTION
SPOCC10,SPOUSE CENSUS OCCUPATION CODE (2010)
TEENSEX,SEX BEFORE MARRIAGE -- TEENS 14-16
JOBINC,HIGH INCOME
GIVBLOOD,R DONATED BLOOD DURING THE PAST 12 MONTHS
ATTEND,MAFREQ OF R'S MOM'S RELIG SVC ATTENDANCE
