Var_Name,Var_Text
EDUC,EMPIMPORTANCE OF EDUC & QUALIF. TO PAY
NATCITY,SOLVING PROBLEMS OF BIG CITIES
NATDRUGY,DRUG REHABILITATION -- VERSION Y
WKYNGSCS,DID PARTNER WORK OUTSIDE HOME AFTER CHILD STARTED SCHOOL
MARWHT,R FAVOR CLOSE RELATIVE MARRYING WHITE PERSON
OLD5,AGE OF 5TH PERSON
WHOELSE3,PRESENCE OF OTHERS: SPOUSE PARTNER
OWNGUN,HAVE GUN IN HOME
CONDOM,USED CONDOM LAST TIME  
YEAR,LYWHAT IS YOUR YEARLY WAGE BEFORE TAX           
MAR14,MARITAL STATUS OF 14TH PERSON (VISITOR)
TRUST,CAN PEOPLE BE TRUSTED
UNION,SBDSTRONG TRADE UNIONS ARE BAD FOR US ECONOMY
WLTHBLKS,RICH - POOR
HAPPY,7HOW HAPPY R IS
POLVIEWS,THINK OF SELF AS LIBERAL OR CONSERVATIVE
TEENSEX,SEX BEFORE MARRIAGE -- TEENS 14-16
MARHOMO,HOMOSEXUALS SHOULD HAVE RIGHT TO MARRY
COLMSLM,ALLOW ANTI-AMERICAN MUSLIM CLERGYMEN TEACHING IN COLLEGE
PAIDLV,1MONTHS OF LEAVE THAT SHOULD BE AVAILABLE
HIVTEST,1IN WHAT MONTH AND YEAR WAS YOUR LAST HIV TEST
INTTECH,INTERESTED IN TECHNOLOGIES
DENOM,SPECIFIC DENOMINATION
FORM,LDYSTHE NUMBER OF DAYS IN FORMAL TRAINING         
PRESTG10,5PLUSRS OCCUPATIONAL PRESTIGE SCORE USING THRESHOLD METHOD (2010)
GOD,SWILLHOW LIKELY X S SITUATION CAUSED BY GOD S WILL
SPHRS1,NUMBER OF HRS SPOUSE WORKED LAST WEEK
MAINDSTATUS,MAIND10 CODING STATUS
OLD4,AGE OF 4TH PERSON
PARTYID,POLITICAL PARTY AFFILIATION
NATFAREY,ASSISTANCE TO THE POOR -- VERSION Y
RELHHD10,RELATION OF 1OTH PERSON TO HOUSEHOLD HEAD
JOBFIND,1HOW EASY FOR R TO FIND A SAME JOB
SPREL16,RELIGION IN WHICH SPOUSE RAISED
RFAMLOOK,HOURS R SPENDS LOOKING AFTER FAMILY MEMBERS
UNION,GODDESIRE TO BE CLOSER TO GOD                    
SEX,SEXSEX OF SEX PARTNERS IN LAST YEAR
DENOM,16DENOMINATION IN WHICH R WAS RAISED
EVOLVED,1HUMANS DEVELOPED FROM EARLIER SPECIES: TRUE OR FALSE
GENDER1,1GENDER OF 11TH PERSON (VISITOR)
AWAY3,IS 3RD PERSON STAYING SOMEWHERE ELSE NOW?
PAIDLV,PAID LEAVE FOR CHILDCARE
POLEFF16,PEOPLE ELECTED TO CONGRESS TRY TO KEEP PROMISES         
SPEDUC,"HIGHEST YEAR SCHOOL COMPLETED, SPOUSE"
SEXSEX,"18SINCE AGE 18, HAVE YOUR SEX PARTNERS BEEN–"
DISCAFF,MA MAN WON'T GET A JOB OR PROMOTION  
DIVORCE,5DIVORCED IN LAST 5 YRS
KIDNOFRE,KIDS INTERFERE WITH PARENTS' FREEDOM
DISCAFF,YCHANCE BLACKS PROMOTED AHEAD OF WHITES
OTHER,WRKDOES R HAVE ANY ADDITIONAL JOB
WHERE1,3WHERE IS 13TH PERSON (VISITOR) STAYING?
HSCHEM,R EVER TOOK A HIGH SCHOOL CHEMISTRY COURSE
CAPPUN,2DOES R FAVOR CAPITAL PUNISHMENT
SEX,ORNTSEXUAL ORIENTATION
SSMCHILD,SAME SEX MALE COUPLE RAISE CHILD AS WELL AS MALE-FEMALE COUPLE
AGE,RELEXAGE OF R AT RELIGIOUS EXPERIENCE
SEI10EDUC,PERCENTAGE OF SOME COLLEGE EDUC IN OCC10 BASED ON ACS 2010
SCITEXT,WHAT IT MEANS TO R TO STUDY SCIENTIFICALLY
SEX,UNIONSEX OF R'S SPOUSE/CIVIL UNION PARTNER/DOMESTIC PARTNER
MAOCCINDV,MOTHER'S OCC/IND VERBATIM RETRIEVED
NUMWOMEN,NUMBER OF FEMALE SEX PARTNERS SINCE 18
RACE,CEN3WHAT IS RS RACE 3RD MENTION
WORDI,WORD I
ELDCOST,WHO SHOULD PAY FOR HELP FOR ELDERLY
REALRINC,RS INCOME IN CONSTANT $
FAIR,WHTSWHITES COMMITTED TO FAIR AND EQUAL TREATMENT OF
TRUST,5PEOPLE CAN OR CANNOT BE TRUSTED
SCINEWS2,MAGAZINE PRINTED OR ONLINE
SSFCHILD,SAME SEX FEMALE COUPLE RAISE CHILD AS WELL AS MALE-FEMALE COUPLE
PAINDSTATUS,PAIND10 CODING STATUS
INCOM16,RS FAMILY INCOME WHEN 16 YRS OLD
SCIENTDN,SCIENTIFIC WORK DANGEROUS
EFTOTLT,TOTAL NUMBER OF STUDENTS ENROLLED IN COLLEGE RESPONDENT ATTENDED
JOBSEC,NO DANGER OF BEING FIRED
ADVFRONT,SCI RSCH IS NECESSARY AND SHOULD BE SUPPORTED BY FEDERAL GOVT
FAIR,HSPSHISPANICS COMMITTED TO FAIR AND EQUAL TREATMENT
RACE,4RACE OF PERSON NUMBER 4
PAOCCTAG,PAOCC10 CODING TAG
COLHOMO,ALLOW HOMOSEXUAL TO TEACH
MADEG,MOTHERS HIGHEST DEGREE
ABANY,ABORTION IF WOMAN WANTS FOR ANY REASON
FARMING,HOW SCIENTIFIC IS FARMING
RACE,RACE OF RESPONDENT
WKSUB,DOES R OR SPOUSE HAVE SUPERVISOR
RELHH10,RELATIONSHIP OF PERSON 10 TO HEAD OF HOUSEHOLD
AGE,2AGE OF PERSON #2
CONSCI,CONFIDENCE IN SCIENTIFIC COMMUNITY
SCIENTDA,HAPPY IF DAUGHTER SCIENTIST
SPKATH,ALLOW ANTI-RELIGIONIST TO SPEAK
CONEDUC,YEDUCATION -- VERSION Z
SPOCCTAG,SPOCC10 CODING TAG
PIKUPSEX,R HAD SEX WITH CASUAL DATE LAST YEAR
RELHH1,1RELATIONSHIP OF PERSON 11 TO HEAD OF HOUSEHOLD
RELIG,2RELIGIOUS PREFERENCE OF PERSON #2
EXPTEXT,WHY IS IT BETTER TO TEST DRUG THIS WAY
RELSP9,RELATIONSHIP OF PERSON 9 TO SPOUSE OF HOUSEHOL
RACE,THASPOINTS ASSIGNED TO ASIAN AMERICAN
TRUST,FAMWOULD TRUST MY FAMILY                   
SPOTHER,OTHER PROTESTANT DENOMINATIONS
OCCINDV,R'S OCC/IND VERBATIM RETRIEVED
WHERE4,WHERE IS 4TH PERSON STAYING?
HEALTH,12R USE WEB FOR HEALTH INFORMATION IN PAST 12 MON
RELSP1,1RELATIONSHIP OF PERSON 11 TO SPOUSE OF HOUSEHO
HEALTH1,RS HEALTH IN GENERAL
LIBMIL,ALLOW MILITARISTS BOOK IN LIBRARY
AGE,RBORNAGE OF R AT BORN-AGAIN EXPERIENCE
JOBINC,HIGH INCOME
TEENS,HOUSEHOLD MEMBERS 13 THRU 17 YRS OLD
CONFED,YEXEC BRANCH FED GOVT -- VERSION Z
PRAY,ERYBIBLE PRAYER IN SCHOOLS-VERSION Y
SPLIVE,HOW LONG BEEN LIVING WITH SPOUSE
RELATE2,RELATIONSHIP OF 2ND PERSON TO HOUSEHOLD HEAD
BOYORGRL,SCI KNOWLEDGE: FATHER GENE DECIDES SEX OF BABY
ENGRESP,CONSIDER WORK IN ENGINEER FIELD
CLASS,SUBJECTIVE CLASS IDENTIFICATION
TRUST,INGMOST PEOPLE CAN BE TRUSTED                    
RELIG,KIDRELIGION R WAS RAISED IN
AGE,5AGE OF PERSON #5
DISCAFFM,A MAN WON'T GET A JOB OR PROMOTION  
WWWMIN,WMINUTES PER WEEK USING WORK COMPUTER WWW
TOOFAST,SCIENCE MAKES OUR WAY OF LIFE CHANGE TOO FAST
JOBVSFA1,HOW OFTEN JOB  TAKES TOO MUCH TIME TO FULFILL FAMILY RESP
SPANINT,"IF NO SPANISH, R COULD HAVE BEEN INTERVIEWED IN ENGLISH"
